title,description
DevOps Engineer,We are a team of expert Operators and problem solvers who are responsible for delivering SaaS software to production and test systems without causing customers…
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Qualified candidates should have an appreciation for running platforms in the cloud with respect to security, scalability, resiliency, cost, performance, and…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Developing and implementing Software Release Management strategies for various applications Review, repair and modify software programs/code and unit test to…"
DevOps Engineer,"Aware of software development risks, with an appreciation for what is technically feasible.
 Grounded by the company's core values, our approach brings together…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"The DevOps Engineer will be responsible for executing the tools and processes to enable DevOps.
 Candidate should be able to bridge the gap between Development…"
DevOps Engineer,"The role is heavily focused on the design, automation, and management of the platforms, processes, and workloads across the development, test, and production…"
DevOps Engineer,"The successful candidate will work collaboratively with engineering teams to improve and automate processes; manage, automate and standardize software releases…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Security Clearance: Active TS/SCI with appropriate agency Polygraph is required for consideration.
 Heaving scripting and DevOps skills are required."
DevOps Engineer,"Create and maintain tools that enable rapid software development of our services and applications.
 Virta is the first company with a clinically-proven treatment…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,MPS needs DevOps engineers who can help us maintain the cloud-based software applications and environment that comprises our highly-available and secure…
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"5 years DevOps experience in a software product company.
 Ability to work in a fast paced environment with frequent software releases."
DevOps Engineer,"Java, Angular, Hibernate, Springboot, Agile, DevOps CICD, MicroServices, Containerization, Nice to have banking or financial industry."
DevOps Engineer,"Has a “get the job done” attitude as opposed to a “9 to 5” approach, stays current on technology by reading trade publications, has a desire to make a…"
DevOps Engineer,"Locations: VA - Richmond, United States of America, Richmond, Virginia.
 Do you love building and pioneering in the technology space?"
DevOps Engineer,"An aptitude to learn new things quickly and efficiently.
 Substantial experience with either AWS, Azure, or Google Cloud.
 Participate in on-call rotations."
DevOps Engineer,"You are an experienced engineer with 5+ years experience in DevOps or SRE.
 The team has years of experience building and operating business-critical machine…"
DevOps Engineer,"Previous experience with software development, infrastructure development, or development and operations.
 From creating and implementing software systems to…"
DevOps Engineer,"Bachelor’s degree in computer science, software engineering, or related field or equivalent experience.
 Its SaaS products are used by thousands of organizations…"
DevOps Engineer,"Often cross the line between programmers and old-style sysadmins, and use languages like Python to orchestrate a robust, auto-scalable and nimble fusion of…"
DevOps Engineer,"Strong grasp of automation and software development tools.
 Lead other DevOps engineers in pursuit of technical, strategic, and organizational goals."
DevOps Engineer,"CentOS Servers (monitored with Telegraf, InfluxDB, Kapacitor, and Grafana).
 Kubernetes (EKS in AWS, monitored with Prometheus and Grafana)."
DevOps Engineer,"The DevOps Engineer will be responsible for executing the tools and processes to enable DevOps.
 Candidate should be able to bridge the gap between Development…"
DevOps Engineer,"We are solving highly complex problems with a team of fun, uniquely talented engineers that deliver capabilities to make a lasting impact."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Further consideration if you have YAML experience..
 Must have working experience with building YAML pipelines in Azure DevOps.*."
